stationId,date,hour,pm25,pm10,no2
HV1,20180506,11,15.3,21.5,17.2
HV1,20180506,12,15.5,21.2,17.4
HV1,20180506,13,15,21,18.9
HV1,20180506,14,11,17.2,13.3
HV1,20180506,15,,,
GN3,20180505,00,24.4,37.1,67.9
GN3,20180505,01,19.3,29.1,67.1
GN3,20180505,02,17.5,27.3,60.5
GN3,20180505,03,19.3,31.8,58.9
GN3,20180505,04,19.5,41.4,55.8
GN3,20180505,05,21.9,32,52.7
GN3,20180505,06,28.2,41.6,62.7
GN3,20180505,07,16.2,26.3,53.6
GN3,20180505,08,14.7,24.6,43.3
GN3,20180505,09,14.4,24.7,36.9
GN3,20180505,10,16.3,27.7,39.7
GN3,20180505,11,17.5,24.6,38.1
GN3,20180505,12,17.3,27.6,39.2
GN3,20180505,13,14.2,21.4,26.6
GN3,20180505,14,18.9,28,40.2
GN3,20180505,15,19.7,30.8,52.2
GN3,20180505,16,19.9,28.8,69.6
GN3,20180505,17,22.3,28.7,46.2
GN3,20180505,18,,35.6,50.4
GN3,20180505,19,28.9,39.1,55.8
GN3,20180505,20,37.5,43.3,53
GN3,20180505,21,36,40.6,57.3
GN3,20180505,22,40.9,49,67
GN3,20180505,23,35.3,42.8,64.3
GN3,20180506,00,32,41.3,60.6
GN3,20180506,01,29.4,34.9,56.8
GN3,20180506,02,32.4,41.8,53.4
GN3,20180506,03,31.2,36.3,45.3
GN3,20180506,04,31.2,38.3,63.5
GN3,20180506,05,35.2,41.3,64.1
GN3,20180506,06,34.9,45.7,39.5
GN3,20180506,07,31.6,39.5,36.2
GN3,20180506,08,34.7,44.3,38.5
GN3,20180506,09,30.6,39.2,28.1
GN3,20180506,10,24.1,32.7,27.1
GN3,20180506,11,19.9,28.2,33.6
GN3,20180506,12,21.8,31.2,32
GN3,20180506,13,23.8,30.3,33.1
GN3,20180506,14,19.8,27,21.1
GN3,20180506,15,,,
GR9,20180505,00,15.1,26.9,85.1
GR9,20180505,01,18.5,27.3,85.4
GR9,20180505,02,14.9,29,69.5
GR9,20180505,03,15.8,28.2,62.2
GR9,20180505,04,15.1,31.6,69.3
GR9,20180505,05,17.2,28.7,56.4
GR9,20180505,06,21.1,34,82.4
GR9,20180505,07,17.9,25.9,81.2
GR9,20180505,08,12.6,22.1,64.1
GR9,20180505,09,15.2,28.3,74
GR9,20180505,10,17.9,24.5,68.7
GR9,20180505,11,20.1,30.3,56.8
GR9,20180505,12,14.3,25.1,49.7
GR9,20180505,13,15.2,21.5,47.8
GR9,20180505,14,16.2,26.3,50
GR9,20180505,15,18.7,29.2,53
GR9,20180505,16,20.9,30.8,54.2
GR9,20180505,17,19.2,29.3,60.8
GR9,20180505,18,22.3,30.7,72.2
GR9,20180505,19,39.2,49.4,68.1
GR9,20180505,20,32.5,45.3,83.5
GR9,20180505,21,32.4,42.1,102.4
GR9,20180505,22,30.6,41.2,103.4
GR9,20180505,23,33.3,47.3,118.1
GR9,20180506,00,32.2,41.2,96.4
GR9,20180506,01,30.5,41.8,86.7
GR9,20180506,02,35,40.3,70.6
GR9,20180506,03,33.9,39.3,56.3
GR9,20180506,04,33.8,36.7,58.6
GR9,20180506,05,34.6,36.9,47.6
GR9,20180506,06,34.5,43,57.9
GR9,20180506,07,29.9,42.6,56.8
GR9,20180506,08,34.1,42.3,65.7
GR9,20180506,09,28,35.2,65
GR9,20180506,10,25.2,37.6,65.2
GR9,20180506,11,19.9,29.9,48.8
GR9,20180506,12,22.9,31.8,50.1
GR9,20180506,13,23.4,31,60.4
GR9,20180506,14,21.9,32.3,58.9
GR9,20180506,15,,,
LW2,20180505,00,23.9,29.7,73.5
LW2,20180505,01,25.9,36.6,63.3
LW2,20180505,02,18.5,26.7,60
LW2,20180505,03,13.7,20.7,43.3
LW2,20180505,04,11.9,19.5,43.7
LW2,20180505,05,15.6,25.2,49.6
LW2,20180505,06,31.5,44.8,97.1
LW2,20180505,07,30.3,36.8,108.8
LW2,20180505,08,19,33.9,100.2
LW2,20180505,09,17.6,29.3,85.7
LW2,20180505,10,16.5,27.1,74
LW2,20180505,11,15.7,27.4,64.5
LW2,20180505,12,17.2,22.4,62.7
LW2,20180505,13,17.8,23.5,52.3
LW2,20180505,14,16.2,21.3,59.6
LW2,20180505,15,20.9,28.1,56.4
LW2,20180505,16,21.5,32.4,51
LW2,20180505,17,21.3,29.5,53.7
LW2,20180505,18,,28.3,55
LW2,20180505,19,27.5,34.6,63.1
LW2,20180505,20,25.6,31.6,54.5
LW2,20180505,21,32.1,37.1,58.1
LW2,20180505,22,33.6,38.9,56.8
LW2,20180505,23,38.7,49,91.1
LW2,20180506,00,41.2,43.2,107.8
LW2,20180506,01,24.9,31.8,61.3
LW2,20180506,02,28.1,33.1,49.6
LW2,20180506,03,30.8,35.9,35.6
LW2,20180506,04,36.2,47.8,61.9
LW2,20180506,05,36.5,41.1,53.3
LW2,20180506,06,41.7,45.8,74.4
LW2,20180506,07,34.5,46.3,81.7
LW2,20180506,08,42.2,48.4,89.4
LW2,20180506,09,31.6,41.7,76.7
LW2,20180506,10,24.2,38,64
LW2,20180506,11,18.9,32.8,48.3
LW2,20180506,12,20.3,28.2,61.4
LW2,20180506,13,22.8,31.7,60.9
LW2,20180506,14,27.2,34.8,70.3
LW2,20180506,15,,,
GN0,20180505,00,,24.9,70.4
GN0,20180505,01,,27.6,68.2
GN0,20180505,02,,23.9,66.9
GN0,20180505,03,,23.8,73.9
GN0,20180505,04,,29,73.9
GN0,20180505,05,,34.2,74.9
GN0,20180505,06,,39.6,74.2
GN0,20180505,07,,27.2,81.2
GN0,20180505,08,,23,86.6
GN0,20180505,09,,19.3,59.1
GN0,20180505,10,,19.1,44.1
GN0,20180505,11,,20.7,34.2
GN0,20180505,12,,19.3,47.4
GN0,20180505,13,,16,38.2
GN0,20180505,14,,18.3,21.8
GN0,20180505,15,,21,25.5
GN0,20180505,16,,20.3,20.8
GN0,20180505,17,,,23.9
GN0,20180505,18,,25.8,32.5
GN0,20180505,19,,24.6,27.3
GN0,20180505,20,,34.3,37.8
GN0,20180505,21,,36.9,45.7
GN0,20180505,22,,43.1,96.2
GN0,20180505,23,,37.2,90.2
GN0,20180506,00,,33,73.9
GN0,20180506,01,,32.7,67.5
GN0,20180506,02,,31.6,62.1
GN0,20180506,03,,31.5,52.1
GN0,20180506,04,,33,53.6
GN0,20180506,05,,30.6,56.6
GN0,20180506,06,,39.7,57.4
GN0,20180506,07,,37.4,56.2
GN0,20180506,08,,36.3,56.1
GN0,20180506,09,,34.7,54.6
GN0,20180506,10,,28.3,43.2
GN0,20180506,11,,25.4,36.7
GN0,20180506,12,,22.1,27.2
GN0,20180506,13,,25.9,34.8
GN0,20180506,14,,24.4,45.2
GN0,20180506,15,,,
KF1,20180505,00,9.9,16.1,
KF1,20180505,01,12.5,19.2,
KF1,20180505,02,15.1,20.7,
KF1,20180505,03,17.1,24.2,
KF1,20180505,04,15.3,22.4,
KF1,20180505,05,16.1,27.8,
KF1,20180505,06,14.8,22.3,
KF1,20180505,07,12.1,17.1,
KF1,20180505,08,11.9,18.1,
KF1,20180505,09,13.7,19.9,
KF1,20180505,10,12.2,18.8,
KF1,20180505,11,11.7,18.3,
KF1,20180505,12,10.6,17,
KF1,20180505,13,12.1,19.2,
KF1,20180505,14,12.2,18.6,
KF1,20180505,15,13.8,20.7,
KF1,20180505,16,16.7,24.7,
KF1,20180505,17,16.9,24.6,
KF1,20180505,18,16.4,23.8,
KF1,20180505,19,18.2,25.3,
KF1,20180505,20,23.3,30.3,
KF1,20180505,21,24.4,32.2,
KF1,20180505,22,24.8,32.1,
KF1,20180505,23,20.7,27.2,
KF1,20180506,00,22.6,28.5,
KF1,20180506,01,22.3,27.8,
KF1,20180506,02,21.1,27.1,
KF1,20180506,03,20.3,25.4,
KF1,20180506,04,19.4,24.3,
KF1,20180506,05,,,
KF1,20180506,06,,,
KF1,20180506,07,,,
KF1,20180506,08,,,
KF1,20180506,09,,,
KF1,20180506,10,,,
KF1,20180506,11,,,
KF1,20180506,12,,,
KF1,20180506,13,,,
KF1,20180506,14,,,
KF1,20180506,15,,,
CD9,20180505,00,,25.1,103.1
CD9,20180505,01,,32.8,103.5
CD9,20180505,02,,42.5,103.8
CD9,20180505,03,28,33.2,107.1
CD9,20180505,04,21.6,31.3,109.6
CD9,20180505,05,30.7,38.5,113.6
CD9,20180505,06,28.5,34.9,118.2
CD9,20180505,07,16.7,22,125
CD9,20180505,08,17.2,23.4,124.8
CD9,20180505,09,24.7,27.6,142.8
CD9,20180505,10,38.5,38.7,121.2
CD9,20180505,11,32.6,35,133.2
CD9,20180505,12,39.1,41.3,135
CD9,20180505,13,36,37.4,117
CD9,20180505,14,,39.6,119.4
CD9,20180505,15,,40.8,
CD9,20180505,16,,46.1,
CD9,20180505,17,26.5,31.6,
CD9,20180505,18,,31.3,113.8
CD9,20180505,19,,30.4,106.8
CD9,20180505,20,,35,97.5
CD9,20180505,21,,33.5,119.8
CD9,20180505,22,,35.3,115.9
CD9,20180505,23,,30.9,103.9
CD9,20180506,00,,37.8,100.1
CD9,20180506,01,,36.4,78.8
CD9,20180506,02,,39.2,57.2
CD9,20180506,03,,33.3,57.1
CD9,20180506,04,25.9,30.7,67.9
CD9,20180506,05,32.3,36.1,88.9
CD9,20180506,06,30.6,32.2,88.2
CD9,20180506,07,29.3,30.4,83.5
CD9,20180506,08,32.5,35.4,101.2
CD9,20180506,09,35.4,36.8,110.4
CD9,20180506,10,,38.3,101.5
CD9,20180506,11,,32.3,95.9
CD9,20180506,12,31.5,33.5,102.5
CD9,20180506,13,32.4,34.3,119.3
CD9,20180506,14,,46.3,
CD9,20180506,15,,,
CT3,20180505,00,14,33.2,
CT3,20180505,01,13,32.6,83.8
CT3,20180505,02,17,26,79
CT3,20180505,03,15,28.6,76.2
CT3,20180505,04,18,32.2,
CT3,20180505,05,23,31.6,
CT3,20180505,06,13,30.4,
CT3,20180505,07,14,24.4,
CT3,20180505,08,34,28.4,
CT3,20180505,09,36,27.4,
CT3,20180505,10,40,29.8,
CT3,20180505,11,25,23,
CT3,20180505,12,20,28.4,
CT3,20180505,13,20,23.2,
CT3,20180505,14,9,17.4,
CT3,20180505,15,4,18,
CT3,20180505,16,-1,16.2,
CT3,20180505,17,-1,19.8,
CT3,20180505,18,5,22.4,
CT3,20180505,19,9,25.6,
CT3,20180505,20,16,29.4,
CT3,20180505,21,20,39,
CT3,20180505,22,22,35,
CT3,20180505,23,18,24.8,
CT3,20180506,00,20,27.6,
CT3,20180506,01,21,24.6,40.8
CT3,20180506,02,24,32.8,48
CT3,20180506,03,20,33.6,34
CT3,20180506,04,20,33.8,34.6
CT3,20180506,05,24,32.8,35.8
CT3,20180506,06,27,31.4,37.4
CT3,20180506,07,23,32,35.6
CT3,20180506,08,41,31.2,
CT3,20180506,09,48,36.6,
CT3,20180506,10,,36.6,
CT3,20180506,11,,,
CT3,20180506,12,,,
CT3,20180506,13,,,
CT3,20180506,14,,,
CT3,20180506,15,,,
CT2,20180505,00,16,,
CT2,20180505,01,26,,
CT2,20180505,02,25,,
CT2,20180505,03,24,,
CT2,20180505,04,23,,
CT2,20180505,05,29,,
CT2,20180505,06,25,,
CT2,20180505,07,14,,
CT2,20180505,08,15,,
CT2,20180505,09,16,,
CT2,20180505,10,13,,
CT2,20180505,11,17,,
CT2,20180505,12,20,,
CT2,20180505,13,15,,
CT2,20180505,14,13,,
CT2,20180505,15,20,,
CT2,20180505,16,22,,
CT2,20180505,17,20,,
CT2,20180505,18,23,,
CT2,20180505,19,25,,
CT2,20180505,20,27,,
CT2,20180505,21,26,,
CT2,20180505,22,25,,
CT2,20180505,23,25,,
CT2,20180506,00,28,,
CT2,20180506,01,28,,
CT2,20180506,02,31,,
CT2,20180506,03,27,,
CT2,20180506,04,27,,
CT2,20180506,05,27,,
CT2,20180506,06,27,,
CT2,20180506,07,31,,
CT2,20180506,08,23,,
CT2,20180506,09,24,,
CT2,20180506,10,19,,
CT2,20180506,11,21,,
CT2,20180506,12,20,,
CT2,20180506,13,23,,
CT2,20180506,14,26,,
CT2,20180506,15,,,
BX9,20180505,00,20.9,,
BX9,20180505,01,19.3,,
BX9,20180505,02,17.6,,
BX9,20180505,03,18.2,,
BX9,20180505,04,17.6,,
BX9,20180505,05,18.9,,
BX9,20180505,06,19.2,,
BX9,20180505,07,22,,
BX9,20180505,08,16.9,,
BX9,20180505,09,18.5,,
BX9,20180505,10,15.1,,
BX9,20180505,11,13.7,,
BX9,20180505,12,14.7,,
BX9,20180505,13,13.3,,
BX9,20180505,14,15,,
BX9,20180505,15,15.5,,
BX9,20180505,16,15.5,,
BX9,20180505,17,15.6,,
BX9,20180505,18,,,
BX9,20180505,19,23.8,,
BX9,20180505,20,21.5,,
BX9,20180505,21,22.6,,
BX9,20180505,22,28.2,,
BX9,20180505,23,30.6,,
BX9,20180506,00,30.8,,
BX9,20180506,01,28.5,,
BX9,20180506,02,27.2,,
BX9,20180506,03,29.1,,
BX9,20180506,04,30.7,,
BX9,20180506,05,31.1,,
BX9,20180506,06,30.1,,
BX9,20180506,07,35.5,,
BX9,20180506,08,35.9,,
BX9,20180506,09,29.2,,
BX9,20180506,10,29.7,,
BX9,20180506,11,21,,
BX9,20180506,12,18.9,,
BX9,20180506,13,18.2,,
BX9,20180506,14,15.3,,
BX9,20180506,15,,,
BX1,20180505,00,,28.9,48.7
BX1,20180505,01,,24.4,49.5
BX1,20180505,02,,22.6,43.1
BX1,20180505,03,,22.9,36.2
BX1,20180505,04,,22.6,33.3
BX1,20180505,05,,23.6,37.7
BX1,20180505,06,,22.1,40.9
BX1,20180505,07,,28.4,44.7
BX1,20180505,08,,27.1,29.9
BX1,20180505,09,,21,28.7
BX1,20180505,10,,18.6,8.8
BX1,20180505,11,,20.6,1
BX1,20180505,12,,15.5,-1.7
BX1,20180505,13,,22.2,-1.1
BX1,20180505,14,,16,-3
BX1,20180505,15,,21.8,-2.2
BX1,20180505,16,,18.3,-3
BX1,20180505,17,,23.9,0.7
BX1,20180505,18,,28.5,9.5
BX1,20180505,19,,28.8,17.4
BX1,20180505,20,,25.1,15.7
BX1,20180505,21,,28.1,29.9
BX1,20180505,22,,34.5,58
BX1,20180505,23,,31.9,46.7
BX1,20180506,00,,30.8,22.1
BX1,20180506,01,,29.3,43.4
BX1,20180506,02,,28,35.2
BX1,20180506,03,,28.9,37
BX1,20180506,04,,31.2,34.6
BX1,20180506,05,,29.7,30
BX1,20180506,06,,32.9,32.6
BX1,20180506,07,,40.1,44.6
BX1,20180506,08,,35.8,26.8
BX1,20180506,09,,32.2,17
BX1,20180506,10,,31.4,17.9
BX1,20180506,11,,26.2,6.6
BX1,20180506,12,,35.2,4.4
BX1,20180506,13,,19.8,3.9
BX1,20180506,14,,27,4.7
BX1,20180506,15,,,
TH4,20180505,00,22.6,38.7,83.8
TH4,20180505,01,24.1,37,78
TH4,20180505,02,20.7,36.1,76.3
TH4,20180505,03,20.2,36.4,73.2
TH4,20180505,04,24.1,45.8,75.2
TH4,20180505,05,27.4,47.9,72
TH4,20180505,06,25.1,40.7,63.6
TH4,20180505,07,17.5,34.3,52.4
TH4,20180505,08,14.7,26.7,43.8
TH4,20180505,09,14.2,23.8,34.3
TH4,20180505,10,15.1,26.8,24.7
TH4,20180505,11,16.4,25.6,31.9
TH4,20180505,12,19.3,25.8,25.8
TH4,20180505,13,14.5,25.3,24.8
TH4,20180505,14,14.3,20.4,24.5
TH4,20180505,15,18.8,27.9,26.3
TH4,20180505,16,18.2,29.4,26.9
TH4,20180505,17,19.1,27.1,30.6
TH4,20180505,18,,,30.4
TH4,20180505,19,25.4,35.4,30.5
TH4,20180505,20,29.4,39.6,38.1
TH4,20180505,21,31.1,56.9,50.4
TH4,20180505,22,33.7,45.2,60.9
TH4,20180505,23,28.6,37.8,49.6
TH4,20180506,00,29.2,41.3,67.7
TH4,20180506,01,28.7,40.3,69
TH4,20180506,02,36.9,54.4,85.7
TH4,20180506,03,38.2,52.3,79.2
TH4,20180506,04,36.4,48,71.8
TH4,20180506,05,35.3,50.2,74.2
TH4,20180506,06,34.5,45.3,47.1
TH4,20180506,07,29,40.6,35.5
TH4,20180506,08,30,41.1,31.6
TH4,20180506,09,27,37.4,35
TH4,20180506,10,25.8,35.3,25.7
TH4,20180506,11,22.7,34.3,21.8
TH4,20180506,12,23.2,32,20.8
TH4,20180506,13,23.5,32.4,20.9
TH4,20180506,14,24.7,32.3,25.2
TH4,20180506,15,,,
ST5,20180505,00,16,27,36.7
ST5,20180505,01,18,25,39.8
ST5,20180505,02,9,20,42.1
ST5,20180505,03,12,21,38.4
ST5,20180505,04,9,19,38.6
ST5,20180505,05,12,41,38.5
ST5,20180505,06,13,24,38.9
ST5,20180505,07,11,21,34.2
ST5,20180505,08,11,20,34.6
ST5,20180505,09,12,17,23
ST5,20180505,10,11,26,23
ST5,20180505,11,10,20,18.8
ST5,20180505,12,7,17,10.8
ST5,20180505,13,5,19,12.6
ST5,20180505,14,6,14,11.8
ST5,20180505,15,12,21,9.8
ST5,20180505,16,11,22,10.8
ST5,20180505,17,12,22,13.2
ST5,20180505,18,19,23,15.4
ST5,20180505,19,26,33,18.3
ST5,20180505,20,28,42,21.9
ST5,20180505,21,35,31,29.8
ST5,20180505,22,34,38,34.2
ST5,20180505,23,49,55,36.9
ST5,20180506,00,42,51,37.2
ST5,20180506,01,46,53,33.2
ST5,20180506,02,38,42,29.3
ST5,20180506,03,29,32,36
ST5,20180506,04,26,38,32.2
ST5,20180506,05,30,35,30.1
ST5,20180506,06,32,38,36.3
ST5,20180506,07,26,36,24.4
ST5,20180506,08,26,33,26.4
ST5,20180506,09,23,36,25.6
ST5,20180506,10,19,25,19.1
ST5,20180506,11,16,24,15.4
ST5,20180506,12,10,27,16.5
ST5,20180506,13,11,27,13
ST5,20180506,14,,28,11
ST5,20180506,15,,,
RB7,20180505,00,21,28.6,61.5
RB7,20180505,01,25,25.6,42
RB7,20180505,02,27,24.4,49.3
RB7,20180505,03,24,24.8,48.4
RB7,20180505,04,29,29.2,45.1
RB7,20180505,05,24,23.2,46.3
RB7,20180505,06,13,21.6,34.6
RB7,20180505,07,14,17.2,31.3
RB7,20180505,08,13,16,33
RB7,20180505,09,17,16.6,24.8
RB7,20180505,10,16,15,16.3
RB7,20180505,11,15,17,15.8
RB7,20180505,12,18,14.6,20
RB7,20180505,13,17,23.2,17.4
RB7,20180505,14,21,16.8,17.7
RB7,20180505,15,20,29.6,17.9
RB7,20180505,16,23,24.2,13.9
RB7,20180505,17,20,27.6,19.7
RB7,20180505,18,24,25.2,25.6
RB7,20180505,19,31,37.8,31.1
RB7,20180505,20,36,35,45.7
RB7,20180505,21,34,33.4,50
RB7,20180505,22,39,33.8,62.7
RB7,20180505,23,31,31.8,39.6
RB7,20180506,00,27,28.6,32.9
RB7,20180506,01,33,24.2,38.4
RB7,20180506,02,30,30.6,32.4
RB7,20180506,03,37,28,48.9
RB7,20180506,04,31,27.2,44.4
RB7,20180506,05,34,29.6,42.7
RB7,20180506,06,31,31.8,25.7
RB7,20180506,07,27,30.2,23.3
RB7,20180506,08,24,26.2,21.2
RB7,20180506,09,21,25.2,21.5
RB7,20180506,10,16,20.4,14.9
RB7,20180506,11,23,25.4,12
RB7,20180506,12,25,25.8,14.5
RB7,20180506,13,20,21.2,12
RB7,20180506,14,22,18.4,13.6
RB7,20180506,15,,,
TD5,20180505,00,11.5,,
TD5,20180505,01,12.4,,
TD5,20180505,02,11,,
TD5,20180505,03,12.8,,
TD5,20180505,04,14.8,,
TD5,20180505,05,14.7,,
TD5,20180505,06,17.9,,
TD5,20180505,07,13.4,,
TD5,20180505,08,19.3,,
TD5,20180505,09,17.7,,
TD5,20180505,10,14.8,,
TD5,20180505,11,17,,
TD5,20180505,12,16.9,,
TD5,20180505,13,15.5,,
TD5,20180505,14,14.5,,
TD5,20180505,15,12.1,,
TD5,20180505,16,15.3,,
TD5,20180505,17,18.5,,
TD5,20180505,18,19.5,,
TD5,20180505,19,20.1,,
TD5,20180505,20,26.3,,
